"","author","title"
"34","A'Hearn ME","Ultraviolet spectroscopy of comet 9P/Tempel 1 with Alice/Rosetta during the Deep Impact Encounter"
"35","A'Hearn ME","Rotational state of the nucleus of Comet 9P/Tempel 1: Results from Hubble Space Telescope observations in 2004"
"36","Ash JM","Exponential sums with coefficients 0 or 1 and concentrated L-p norms"
"37","A'Hearn MF","Determination of the light curve of the Rosetta target asteroid (2867) Steins by the OSIRIS cameras onboard Rosetta"
"38","A'hearn MF","Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"
"39","Au R","Serpin b1a controls the antiapoptotic effects of PACAP and NGF in PC12 cells"
"40","A'Hearn MF","OSIRIS - The scientific camera system onboard rosetta"
"41","A'Hearn MF","ALICE: The Rosetta ultraviolet imaging spectrograph"
"42","Aoi N","Coulomb excitation of Ne-26"
"43","Ao T","Veloce: A compact pulser for dynamic material characterization and hypervelocity impact of flyer plates"
"44","AI-Zoughool M","Risk of endometrial cancer in relationship to cigarette smoking: Results from the EPIC study"
"45","Ao Y","The CO line SED and atomic carbon in IRAS F10214+4724"
"46","Aoi A","Low-intensity ultrasound and microbubbles enhance the antitumor effect of cisplatin"
"47","Aoi N","Decay Pattern of Pygmy States Observed in Neutron-Rich (26)Ne"
"48","Au WY","Molecular Signatures to Improve Diagnosis, Prognostication and Identification of Oncogenic Pathways in Peripheral T and NK Cell Lymphoma"
"49","Ai FJ","Structure and mechanical properties of poly(lactic acid) filled with (starch nanocrystal)-graft-poly(epsilon-caprolactone)"
"50","Aoi N","Identification of new isotopes Pd-125 and Pd-126 produced by in-flight fission of 345MeV/nucleon U-238: First results from the RIKEN RI beam factory"
"51","Aa TV","Implementation of a coarse-grained reconfigurable media processor for AVC decoder"
"52","Aous S","Cerebral blood volume quantification in a C6 tumor model using gadolinium per (3,6-anhydro) alpha-cyclodextrin as a new magnetic resonance imaging preclinical contrast agent"
"53","Aoi A","Herpes simplex virus thymidine kinase-mediated suicide gene therapy using nano/microbubbles and ultrasound"
"54","Aoiz FJ","On the dynamics of the H(+)+D(2)(v=0, j=0) -> HD + D(+) reaction: A comparison between theory and experiment"
"55","Aus G","EAU guidelines on prostate cancer"
"56","Aoi N","The study of shell closures in light neutron-rich nuclei"
"57","Aoues Y","Reliability-based optimization of structural systems by adaptive target safety - Application to RC frames"
"58","Aoiz FJ","Inelastic Scattering of He Atoms and NO(X-2 Pi) Molecules: The Role of Parity on the Differential Cross Section"
"59","Aoi N","Halo Structure of the Island of Inversion Nucleus Ne-31"
"60","Aue A","Surface charges of anionic and cationic polyelectrolytes and their effects on the nucleation and the growth of CaCO3 crystals"
"61","A'Hearn MF","Properties of the nuclei and comae of 13 ecliptic comets from Hubble Space Telescope snapshot observations"
"62","A'Hearn MF","Spitzer observations of the asteroid-comet transition object and potential spacecraft target 107P (4015) Wilson-Harrington"
"63","Aoi N","Yrast spectroscopy in Ti49-51 via fusion-evaporation reaction induced by a radioactive beam"
"64","Au W","NK-Cell Lymphoma Shares Strikingly Similar Molecular Features with a Distinct Set of gamma delta T-Cell Lymphoma and Identification of Aurora Kinase A Inhibitor as a Novel Therapeutic Agent"
"65","Aus G","The European Association of Urology (EAU) Guidelines Methodology: A Critical Evaluation"
"66","Aoi N","DECAY PATTERN OF PYGMY STATES OBSERVED IN NEUTRON-RICH Ne-26"
"67","A'Hearn MF","Temporal and Spatial Variability of Lunar Hydration As Observed by the Deep Impact Spacecraft"
"68","Aus G","Prostate Cancer Mortality Reduction by Prostate-Specific Antigen-Based Screening Adjusted for Nonattendance and Contamination in the European Randomised Study of Screening for Prostate Cancer (ERSPC)"
"69","Aas PA","Human Immunodeficiency Virus Type 1 Vpr Modulates Cellular Expression of UNG2 via a Negative Transcriptional Effect"
"70","A'Hearn MF","Spitzer Space Telescope Observations of the Nucleus of Comet 103P/Hartley 2"
"71","Aoiz MAG","Application of patient safety indicators internationally: a pilot study among seven countries"
"72","Aoiz FJ","Effects of the rotational excitation of D-2 and of the potential energy surface on the H++D-2 -> HD+D+ reaction"
"73","Aoi N","Spectroscopy of Ne-32 and the ""Island of Inversion"""
"74","A-Elbasit IE","Multiple Origins and Regional Dispersal of Resistant dhps in African Plasmodium falciparum Malaria"
"75","Ai FJ","Structure and Properties of Starch Nanocrystal-Reinforced Soy Protein Plastics"
"76","Ash M","Transionospheric attenuation of 100 kHz radio waves inferred from satellite and ground based observations"
"77","Aus G","Screening and Prostate-Cancer Mortality in a Randomized European Study"
"78","A'Hearn MF","Triple F-a comet nucleus sample return mission"
"79","Ao A","NLRP7 mutations in women with diploid androgenetic and triploid moles: a proposed mechanism for mole formation"
"80","Aus G","EAU Guidelines on Prostate Cancer"
"81","A'Hearn M","The size and thermal properties of the nucleus of Comet 22P/Kopff"
"82","Ai FJ","Effects of Starch Nanocrystal-graft-Polycaprolactone on Mechanical Properties of Waterborne Polyurethane-Based Nanocomposites"
"83","Aas W","Comparison of methods for measuring atmospheric deposition of arsenic, cadmium, nickel and lead"
"84","Auhl D","The long-chain dynamics in a model homopolymer blend under strong flow: small-angle neutron scattering and theory"
"85","Aoi J","PROPAGATION OF ULTRAHIGH ENERGY NUCLEI IN CLUSTERS OF GALAXIES: RESULTING COMPOSITION AND SECONDARY EMISSIONS"
"86","Aube C","Embolization of a ruptured postpartum ovarian artery aneurysm"
"87","Aube C","A not so solitary fibrous tumor of the liver"
"88","Aebi P","Dramatic effective mass reduction driven by a strong potential of competing periodicity"
"89","Aouba A","Rationale and efficacy of interleukin-1 targeting in Erdheim-Chester disease"
"90","Aube C","Electrochemical Synthesis and Characterisation of Alternating Tripyridyl-Dipyrrole Molecular Strands with Multiple Nitrogen-Based Donor-Acceptor Binding Sites"
"91","Aioub M","Enamel Protein Regulation and Dental and Periodontal Physiopathology in Msx2 Mutant Mice"
"92","Aube C","Distribution of abdominal adipose tissue as a predictor of hepatic steatosis assessed by MRI"
"93","Aouba A","Therapeutic training for hemophiliac children followed by Necker-Enfants Malades Hospital in Paris, France and a specialized children's health care center at Osscja France, front 1990 to 2009"
"94","Aebi M","Glycomimicry: Display of the GM3 sugar epitope on Escherichia coli and Salmonella enterica sv Typhimurium"
"95","Aouba A","Time Trends in Hospital-Referred Stroke and Transient Ischemic Attack: Results of a 7-Year Nationwide Survey in France"
"96","Aouba A","The telomere/telomerase system in autoimmune and systemic immune-mediated diseases"
"97","Aab A","Diagnosing microalbuminuria and consequences for the drug treatment of patients with type 2 diabetes: A European survey in primary care"
"98","Aube C","Acoustic radiation force impulse: a new ultrasonographic technology for the widespread noninvasive diagnosis of liver fibrosis"
"99","Aouba A","Knowledge of causes of death in Algeria. Methods and first results"
"100","Aube C","Noninvasive liver steatosis quantification using MRI techniques combined with blood markers"
"101","Aouba A","Suboptimal care in the initial management of children who died from severe bacterial infection: A population-based confidential inquiry"
"102","Aube H","Activity-based financing: Is ambulatory care profitable for the institution?"
"103","Aebi U","Fast Quantitative Single-Molecule Detection at Ultra low Concentrations"
"104","Aube C","Assessment of water enema computed tomography: an effective imaging technique for the diagnosis of colon cancer"
"105","Aube C","Cystic and cavitary lesions of the lung: imaging characteristics and differential diagnosis"
"106","Aube C","Incidental focal solid liver lesions: diagnostic performance of contrast-enhanced ultrasound and MR imaging"
"107","Aouba A","Telomeres and telomerase: Relevance and future prospects in systemic lupus erythematosus"
"108","Aouba A","Accessory Spleen: Differential Diagnosis for Lymphoma in Autoimmune Lymphoproliferative Syndrome"
"109","Aebi P","Temperature-dependent photoemission on 1T-TiSe2: Interpretation within the exciton condensate phase model"
"110","Aube C","Radio logic versus Endoscopic Placement of Percutaneous Gastrostomy in Amyotrophic Lateral Sclerosis: Multivariate Analysis of Tolerance, Efficacy, and Survival"
"111","Aubes M","Photoinactivation of the Escherichia coli by the Pulsed Dielectric Barrier Discharge Excilamp Krypton Chlorine Emitted at 222 nm"
"112","Aouba A","Role of Cancer Treatment in Long-Term Overall and Cardiovascular Mortality After Childhood Cancer"
"113","Aube C","Radiation-induced cholangitis with hepatocellular carcinoma"
"114","Aouba A","Uncomplicated neurosurgical resection of a malignant glioneuronal tumour under haemostatic cover of rFVIIa in a severe haemophilia patient with a high-titre inhibitor: a case report and literature review of rFVIIa use in major surgeries"
"115","Aube C","MR-endoscopic US correlation for loco-regional staging of rectal carcinoma"
"116","Aubes M","Comparison between x-rays absorption and emission spectroscopy measurements on a ceramic envelop lamp"
"117","Aioub M","Msx2-/- transgenic mice develop compound amelogenesis imperfecta, dentinogenesis imperfecta and periodental osteopetrosis"
"118","Aube C","Diagnosis and measurement of liver fibrosis by MRI in bile duct ligated rats"
"119","Aube H","Effect of a nurse-implemented sedation protocol on the incidence of ventilator-associated pneumonia"
"120","Aiba H","An oncoprotein from the plant pathogen Agrobacterium has histone chaperone-like activity"
"121","Aube H","Good clinical practices and inpatient antibiotics: optimization of fluoroquinolone switch therapy"
"122","Aouba A","Treatment of profound anemia with erythropoietin and steroids in a patient with X-linked chronic granulomatous disease associated with MacLeod erythrocyte phenotype"
"123","Aube C","Fuzzy algorithms: Application to adipose tissue quantification on MR images"
"124","Aube C","Imaging nodules within cirrhotic liver: how do I do it?"
"125","Aube C","Radiofrequency thermal ablation of liver tumors"
"126","Aube C","Multiple pedunculated liver hemangiomas presenting with volvulus"
"127","Aube C","Answer to april @-quid"
"128","Aouba A","Tolerance and efficacy of rituximab and changes in serum B cell biomarkers in patients with systemic complications of primary Sjogren's syndrome"
"129","Aube C","Stomal varices treated by glue embolization"
"130","Aube C","Diagnosis and treatment of hemosuccus pancreaticus - Development of endovascular management"
"131","Aube C","Influence of NaCl concentrations on coagulation, temperature, and electrical conductivity using a perfusion radiofrequency ablation system: An ex vivo experimental study"
"132","Aibeo A","Application of a MHD hybrid solar wind model with latitudinal dependences to ULYSSES data at minimum"
"133","Aouba A","Adjunction of rituximab to steroids and immunosuppressants for refractory/relapsing Wegener's granulomatosis: a study on 8 patients"
"134","Aubes M","Modeling of acoustic resonances in HID lamps - coupling between standing waves and arc bending"
"135","Aibeo A","Solar wind and stellar jets, from newtonian to relativistic ones"
"136","Aube C","Fuzzy algorithms to extract vacuoles of steatosis on liver histological color images"
"137","Aouba A","HIV-specific regulatory T cells are associated with higher CD4 cell counts in primary infection"
"138","Aube C","MR imaging features of deep pelvic endometriosis: correlation with laparoscopy"
"139","Aube C","Abdominal trauma: spectrum of lesions"
"140","Aube H","Vitreoretinal outpatient surgery: clinical and financial considerations"
"141","Aube C","Rupture of an aneurysm of the ovarian artery following delivery and endovascular treatment"
"142","Aab A","Postanalytical external quality assessment of urine albumin in primary health care: An international survey"
"143","Aube C","COMPARISON OF QUANTIFICATION METHODS OF LIVER STEATOSIS BY MRI AFTER GRADING OF BIOPSY-PROVEN STEATOHEPATITIS"
"144","Aebi C","Establishing glycaemic control with continuous subcutaneous insulin infusion in children and adolescents with type 1 diabetes: experience of the PedPump Study in 17 countries"
"145","Aube C","Role of contrast-enhanced ultrasound in the blinded assessment of focal liver lesions in comparison with MDCT and CEMRI: Results from a multicentre clinical trial"
"146","Aube C","Annoted analysis of the article: Chemoembolization combined with radiofrequency ablation for patients with hepatocellular carcinoma larger than 3 cm. A randomized controlled trial"
"147","Aube C","Image-guided percutaneous gastrostomy"
"148","Aube C","How to analyze an intracranial high intensity T1 signal? Illustrated review"
"149","Aouba A","Mortality due to sickle cell anaemia in France from birth to 18 years of age"
"150","Aouba A","Long-term overall and cardiovascular mortality following childhood cancer: The role of cancer treatment"
"151","Aube C","Direct percutaneous approach for endoluminal glue embolization of stomal varices"
"152","Aube H","Plasma antioxidant status in septic critically ill patients: a decrease over time"
"153","Aiba S","Efficacy of a product associating retinaldehyde and hyaluronic acid fragments on photoinduced aging in Japanese patients"
"154","Aouba A","Rituximab reversed cardiac involvement of Wegener's granulomatosis: magnetic resonance imaging assessment"
"155","Aouba A","Analysis of Wegener's granuloinatosis responses to rituximab: Current evidence and therapeutic prospects"
"156","Aube C","Distribution of adipose tissue: Quantification and relationship with hepatic steatosis and vascular profiles of type 2 diabetic patients with metabolic syndrome"
"157","Aouba A","Efficiency of hydroxychloroquine in the treatment of granulomatous complications in chronic granulomatous disease"
"158","Aube C","Colonoscopy: real or virtual?"
"159","Aube C","Factors limiting complete tumor ablation by radiofrequency ablation"
"160","Aouba A","Complete remission in refractory relapsing polychondritis with intravenous immunoglobulins"
"161","Aib I","SLA-based dynamic resource management in wireless environments"
"162","Aib I","Recursive load balancing technique for VoIP-dedicated WLANs"
"163","Aib I","ALBA: An autonomic load balancing algorithm for IEEE 802.11 wireless networks"
"164","Aib I","A Distributed Trust and Reputation Model for Capacity Enhancement in Wireless Networks"
"165","Aebi M","Molecular Basis for Galactosylation of Core Fucose Residues in Invertebrates IDENTIFICATION OF CAENORHABDITIS ELEGANS N-GLYCAN CORE alpha 1,6-FUCOSIDE beta 1,4-GALACTOSYLTRANSFERASE GALT-1 AS A MEMBER OF A NOVEL GLYCOSYLTRANSFERASE FAMILY"
"166","Aouba A","Spumous histiocytic oligoarthritis coexisting with systemic Langerhans' cell histiocytosis: Case report and literature review"
"167","Aube H","Impact of the Activity-Based Financing (11(th) Version) on glaucoma surgery payment in hospital resources"
"168","Aube C","Quantification of liver steatosis: Why? How?"
"169","Aouba A","Anesthesia-related Mortality"
"170","Aouba A","LONG-TERM OVERALL AND CARDIOVASCULAR MORTALITY FOLLOWING CHILDHOOD CANCER: THE ROLE OF CANCER TREATMENT"
"171","Aebi P","Temperature dependence of the excitonic insulator phase model in 1T-TiSe2"
"172","Aube C","Functional MRI comparison of passive and active movement: possible inhibitory role of supplementary motor area"
"173","Aubas P","MANAGEMENT AND COST OF SCIATICA IN-HOSPITAL"
"174","Aube C","RELATIONSHIP OF STEATOSIS QUANTITY AND ARCHITECTURE WITH OTHER LIVER LESIONS AND METABOLIC SYNDROME IN NAFLD"
"175","Aube C","ACOUSTIC RADIATION FORCE IMPULSE (ARFI): A NEW TECHNOLOGY FOR THE NON-INVASIVE DIAGNOSIS OF LIVER FIBROSIS IN CHRONIC LIVER DISEASES"
"176","Aubas P","MANAGEMENT AND COST OF LOW BACK PAIN IN-HOSPITAL: HOW A LONGITUDINAL HOSPITAL DATA BASE DESCRIBES THE REAL PRACTICES?"
"177","Aubas P","MANAGEMENT AND COST OF LUMBAGO-SCIATICA IN-HOSPITAL: HOW A LONGITUDINAL HOSPITAL DATA BASE DESCRIBES THE REAL PRACTICES?"
"178","Aouba A","Patient Blood Management and Transfusion"
"179","Aube C","Liver fibrosis staging with contrast-enhanced ultrasonography: prospective multicenter study compared with METAVIR scoring"
"180","Aiba N","Pedestal stability comparison and ITER pedestal prediction"
"181","Aube C","Postoperative imaging of the cardia and stomach"
"182","Aebi U","PATHOPHYSIOLOGICAL MECHANISMS IN LAMIN A/C ASSOCIATED CHARCOT-MARIE-TOOTH DISEASE (CMT2B1)"
"183","Aioub M","Dental and periodontal osteopetrosis phenotype in Msx2-/-transgenic mice"
"184","Aube J","The 3C-6H polytypic transition in SiC as revealed by diffuse x-ray scattering"
"185","Aouba A","How does loss to follow-up influence cohort findings on HIV infection? A joint analysis of the French hospital database on HIV, MortalitE 2000 survey and death certificates"
"186","Aouba A","Effectiveness and tolerance of low to very low dose thalidomide in low-risk myelodysplastic syndromes"
"187","Aube C","Recurrent acute pancreatitis revealing a hydatid cyst of the pancreas"
"188","Aebi P","Modification of the Cu(110) Shockley surface state by an adsorbed pentacene monolayer"
"189","Aube C","Effectiveness of an educational therapeutic program on metabolic parameters and the visceral fatty tissue of diabetes of type 2"
"190","Aouba A","Pneumococcal infections and vaccination in patients with systemic autoimmune and/or inflammatory diseases"
"191","Aioub M","Differential Impact of Msx1 and Msx2 Homeogenes on Mouse Maxillofacial Skeleton"
"192","Aube C","Real-time contrast-enhanced ultrasound in the evaluation of focal liver lesions: diagnostic efficacy and economical issues from a French multicentric study"
"193","Aib I","Proactive Traffic Engineering for IEEE 802.11 Mobile Wireless Networks"
"194","Aube C","HISTOLOGICAL AND NON-INVASIVE QUANTITATION OF LIVER STEATOSIS"
"195","Aube C","COMBINATION OF BLOOD TEST AND ELASTOMETRY IMPROVES THE DIAGNOSIS OF LIVER FIBROSIS OR CIRRHOSIS AND MARKEDLY REDUCES THE BIOPSY REQUIREMENT IN ALGORITHMS"
"196","Aube C","PRECISE AND SIMPLE QUANTITATION OF LIVER STEATOSIS BY MRI IN AN ANIMAL MODEL AND IN PATIENTS WITH NAFLD"
"197","Aib I","Autonomic Management for Capacity Improvement in Wireless Networks"
"198","Aaboubi O","Pretreatment effects on the electrochemical responses for aluminium-magnesium alloy AA5083 corrosion behaviour"
"199","Aaboubi O","Electrochemical characterization of Ni-Fe alloy codeposition under MHD control"
"200","Aubock G","Reinvestigation of the Rb-2 (2)(3)Pi(g)-a (3)Sigma(+)(u) band on helium nanodroplets"
"201","AuBuchon JP","Inventory Management"
"202","Aabakken L","Optimal preparation for small bowel examinations with video capsule endoscopy"
"203","Aubert B","Miniature And Low-cost Devices For The Precise And Reliable Monitoring Of Low Concentrations Of H(2)s In Changing Environments"
"204","Aubert G","De-escalation as part of a global strategy of empiric antibiotherapy management. A retrospective study in a medico-surgical intensive care unit"
"205","Aubert A","Secure embedded verification of print signatures"
"206","Aubert Y","RD20, a Stress-Inducible Caleosin, Participates in Stomatal Control, Transpiration and Drought Tolerance in Arabidopsis thaliana"
"207","Aubert B","Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration"
"208","Aubert B","Observation of a Centrality-Dependent Dijet Asymmetry in Lead-Lead Collisions at root s(NN)=2.76 TeV with the ATLAS Detector at the LHC"
"209","Aubert-Frecon M","Rapid, Accurate and Simple Model to Predict NMR Chemical Shifts for Biological Molecules"
"210","Aubert G","A Formal Gamma-Convergence Approach for the Detection of Points in 2-D Images"
"211","Aubert C","Metalated-Arene-Phosphino Ligands A Novel Approach to Open-Sided Gold Compounds"
"212","Aubert B","Performance of the ATLAS detector using first collision data"
"213","Aubert-Foucher E","Chronic Exposure of Bone Morphogenetic Protein-2 Favors Chondrogenic Expression in Human Articular Chondrocytes Amplified in Monolayer Cultures"
"214","Aubert S","Hypercalcitonemia revealing a somatostatinoma"
"215","Aubert M","Emerging and re-emerging viruses of the honey bee (Apis mellifera L.)"
"216","Aubert-Foucher E","BONE MORPHOGENETIC PROTEIN-2 IS A SPECIFIC CHONDROGENIC INDUCER WITH POTENTIAL USE FOR (MATRIX-ASSOCIATED) AUTOLOGOUS CHONDROCYTE IMPLANTATION"
"217","Aubaud C","An isotopically distinct hydrogen reservoir in the South Pacific mantle"
"218","Aubert-Khalfa S","Pure-tone auditory thresholds are decreased in depressed people with post-traumatic stress disorder"
"219","Aubert X","Microhollow cathode sustained discharges: comparative studies in micro- and equivalent macro-cell geometries"
"220","Aiboud F","Third brain ventricle deformation analysis using fractional differentiation and evolution strategy in brain cine-MRI"
"221","Aubard J","Surface-Enhanced Raman Scattering on Silver Nanostructured Films Prepared by Spray-Deposition"
"222","Aubert T","Synthesis and Characterization of A(4)[Re(6)Q(8)L(6)]@SiO2 Red-Emitting Silica Nanoparticles Based on Re-6 Metal Atom Clusters (A = Cs or K, Q = S or Se, and L = OH or CN)"
"223","Aubert B","Typical patient radiation doses in diagnostic imaging"
"224","Aubert B","The management of radiation protection in France"
"225","Aubert S","A multi-trait approach reveals the structure and the relative importance of intra- vs. interspecific variability in plant traits"
"226","Aubard Y","Contralateral axillary involvement in breast cancer recurrence locoregional disease or metastasis?"
"227","Aubert J","An Introduction to Data Assimilation and Predictability in Geomagnetism"
"228","Aubert J","Observations and Models of the Long-Term Evolution of Earth's Magnetic Field"
"229","Aubert P","A Multiscale Approach to Assess the Complex Surface of Polyurethane Catheters and the Effects of a New Plasma Decontamination Treatment on the Surface Properties"
"230","Aubert-Frogerais L","Time Course and Specificity of Lipolysis in Swiss Cheese"
"231","Aubert S","Primary intestinal-type adenocarcinoma of the renal pelvis associated with lithiasis: A case report"
"232","Aubard J","Thermo-induced Electromagnetic Coupling in Gold/Polymer Hybrid Plasmonic Structures Probed by Surface-Enhanced Raman Scattering"
"233","Aubert M","Simultaneous uranium/plutonium separation and direct isotope ratio measurements by using CO2 as the gas in a collision/reaction cell based MC-ICPMS"
"234","Aubard Y","Fertility after embolization of the uterine arteries to treat obstetrical hemorrhage: a review of 53 cases"
"235","Aubert B","Correlated leading baryon-antibaryon production in e(+)e(-) -> c(c)over-bar -> Lambda(+)(c)(Lambda)over-bar(c)(-)X"
"236","Aubert G","Permanent magnet assembly producing a strong tilted homogeneous magnetic field: towards magic angle field spinning NMR and MRI"
"237","Aubert D","REIONIZATION SIMULATIONS POWERED BY GRAPHICS PROCESSING UNITS. I. ON THE STRUCTURE OF THE ULTRAVIOLET RADIATION FIELD"
"238","Aubert L","Efficiency and safety of oral immunotherapy protocols in peanut allergy. Pilot study on 51 patients."
"239","Aubert I","Neuroanatomical Study of the A11 Diencephalospinal Pathway in the Non-Human Primate"
"240","Aubert D","Recent Advances in the Development of X-Ray Cameras Inserted Inside a Pressurized Box for LMJ Plasma Diagnostics"
"241","Aubert G","Iseult/INUMAC Whole Body 11.7 T MRI Magnet Status"
"242","Aubert G","The Iseult/Inumac Whole Body 11.7 T MRI Magnet R&D Program"
"243","Aubert G","Tests of a Prototype for Assessing the Field Homogeneity of the Iseult/Inumac 11.7 T Whole Body MRI Magnet"
"244","Aubert H","Height Reduction of the Axial-Mode Open-Ended Quadrifilar Helical Antenna"
"245","Aubert T","Synthesis and characterization of Eu3+, Ti4+@ZnO organosols and nanocrystalline c-ZnTiO3 thin films aiming at high transparency and luminescence"
"246","Aubard J","Nano-gold biosynthesis by silica-encapsulated micro-algae: a ""living"" bio-hybrid material"
"247","Aubert B","Search for New Particles in Two-Jet Final States in 7 TeV Proton-Proton Collisions with the ATLAS Detector at the LHC"
"248","Aubert E","Synthesis of new pentacyclic chromophores through a highly regio- and diastereoselective cascade process"
"249","Aubert JJ","Performance of the front-end electronics of the ANTARES neutrino telescope"
"250","Aubert A","Failure analysis case study on a Cu/low-k technology in package: New front-side approach using laser and plasma de-processing"
"251","Aubert J","Gene expression profiling in psoriatic scalp hair follicles: clobetasol propionate shampoo 0.05% normalizes psoriasis disease markers"
"252","Aubert D","Bukholderial Cenocepacia Superlectin with Dual Specificity, Cell Wall Binding Property and Host Pro-Inflammatory Activity"
"253","Aubert S","From mesial temporal lobe to temporoperisylvian seizures: A quantified study of temporal lobe seizure networks"
"254","Aubert B","Uterine Artery Embolization for Leiomyomata: Optimization of the Radiation Dose to the Patient Using a Flat-Panel Detector Angiographic Suite"
"255","Aubert G","Highly-multiplexed SNP genotyping for genetic mapping and germplasm diversity studies in pea"
"256","Aubert G","The Seed Composition of Arabidopsis Mutants for the Group 3 Sulfate Transporters Indicates a Role in Sulfate Translocation within Developing Seeds"
"257","Aubert JJ","Measurement of the atmospheric muon flux with a 4 GeV threshold in the ANTARES neutrino telescope (vol 33, pg 86, 2010)"
"258","Aubert P","Mechanical properties of irradiated spinel ceramics"
"259","Aubert-Wastiaux H","Hidradenitis suppurativa and innate immunity: a target for zinc gluconate"
"260","Aubert-Wastiaux H","Hidradenitis suppurativa and innate immunity: a target for zinc gluconate"
"261","Aubert S","A new pathway encompassing calpain 3 and its newly identified substrate cardiac ankyrin repeat protein is involved in the regulation of the nuclear factor-kappa B pathway in skeletal muscle"
"262","Aubert C","Oxidation of alpha-Alkoxy Allenes into alpha '-Alkoxy Enones"
"263","Aubert M","The challenge of direct dating old human fossils"
"264","Aubert T","Fine tuning of emission through the engineering of colloidal crystals"
"265","Aubert R","First feasibility study on a partnership between dermatologists and pharmacists for the improvement of psoriasis management"
"266","Aubert E","Nickel(II)-Dipeptidoamine-Based Tetrameric Complex: Structural Study in Solution and in Solid State"
"267","Aubert C","Synthesis of Orthogonally Protected Angular Nitrogen Polyheterocycles via CpCo-Catalyzed Pyridine Formation"
"268","Aubert B","Observation of the decay (B)over-bar(0) -> Lambda(+)(c)(p)over-bar pi(0)"
"269","Aubert I","The effect of internal hydrogen on surface slip localisation on polycrystalline AISI 316L stainless steel"
"270","Aubard J","From Average to Single Molecule Surface Enhanced Raman Scattering"
"271","Aubard J","Hot-spots nanostructuration: Towards controlled Single Molecule Surface Enhanced Raman Scattering sensing"
